CID,FSA,Comm_Name,PR,HR,health_region,HR_UID,HR_NAME
491824829,T2Z,CALGARY,48,4832,Calgary,4832,Calgary Zone
491824833,L5E,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
491824844,A0G,LEWISPORTE,10,1012,Central,1012,Central Regional Health Authority
491824847,H9W,BEACONSFIELD,24,2406,Montréal,2406,Région de Montréal
491824858,M8W,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
491824869,T3G,CALGARY,48,4832,Calgary,4832,Calgary Zone
491824885,L4N,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
491824907,M5V,TORONTO,35,3595,Toronto,3595,Toronto Public Health
491824912,L3P,MARKHAM,35,3570,York,3570,York Region Public Health
491824920,M1G,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
491824928,A1A,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority
491824961,B2H,NEW GLASGOW,12,1202,Zone 2 - Northern,1202,Zone 2 - Northern
491824984,K6V,BROCKVILLE,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit"
491824999,A0J,SPRINGDALE,10,1012,Central,1012,Central Regional Health Authority
491825021,L8K,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services
491825023,V2W,MAPLE RIDGE,59,5902,Fraser,591,Fraser
491825027,H8P,LASALLE,24,2406,Montréal,2406,Région de Montréal
491825031,T4R,RED DEER,48,4833,Central,4833,Central Zone
491825032,R3C,WINNIPEG,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority
491825038,J3Y,SAINT-HUBERT,24,2416,Montérégie,2416,Région de la Montérégie
491825044,H4A,MONTREAL,24,2406,Montréal,2406,Région de Montréal
491825049,A8A,DEER LAKE,10,1013,Western,1013,Western Regional Health Authority
491825066,V0K,100 MILE HOUSE,59,5901,Interior,592,Interior
491825073,E1A,DIEPPE,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
491825080,V9R,NANAIMO,59,5904,Island,593,Vancouver Island
491825081,T8A,SHERWOOD PARK,48,4834,Edmonton,4834,Edmonton Zone
491825098,M2N,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
491825162,N0A,PORT DOVER,35,3534,Haldimand-Norfolk,3534,Haldimand-Norfolk Health Unit
491825200,B1N,SYDNEY,12,1203,Zone 3 - Eastern,1203,Zone 3 - Eastern
491825205,G9N,SHAWINIGAN,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec
491825251,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health
491825301,G9H,BECANCOUR,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec
491825322,L1J,OSHAWA,35,3530,Durham,3530,Durham Region Health Department
491825355,M3L,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
491825357,L5B,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
491825404,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
491825410,A0A,HOLYROOD,10,1011,Eastern,1011,Eastern Regional Health Authority
491825424,V3V,SURREY,59,5902,Fraser,591,Fraser
491825431,G9H,BECANCOUR,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec
491825474,M9R,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
491825494,T4N,RED DEER,48,4833,Central,4833,Central Zone
491825509,M2M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
491825520,V3K,COQUITLAM,59,5902,Fraser,591,Fraser
491825572,M6M,YORK,35,3595,Toronto,3595,Toronto Public Health
491825619,S4H,WEYBURN,47,4706,South,476,South
491825640,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal
491825852,J9E,MANIWAKI,24,2407,Outaouais,2407,Région de l'Outaouais
491826257,N6J,LONDON,35,3544,Middlesex-London,3544,Middlesex-London Health Unit
491826299,E1E,MONCTON,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
491826414,J8A,SAINT-HIPPOLYTE,24,2415,Laurentides,2415,Région des Laurentides
491826542,K9J,PETERBOROUGH,35,3555,Peterborough,3555,Peterborough Public Health
491826639,V0J,VANDERHOOF,59,5905,Northern,594,Northern
491826790,H1G,MONTREAL-NORD,24,2406,Montréal,2406,Région de Montréal
491826963,N8N,WINDSOR,35,3568,Windsor-Essex,3568,Windsor-Essex County Health Unit
491827011,H4W,COTE SAINT-LUC,24,2406,Montréal,2406,Région de Montréal
491827046,L6P,BRAMPTON,35,3553,Peel,3553,Peel Public Health
491827047,S6J,MOOSE JAW,47,4706,South,476,South
491827083,T6J,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
491827100,N1H,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit
491827131,H2N,MONTREAL,24,2406,Montréal,2406,Région de Montréal
491827148,J6E,JOLIETTE,24,2414,Lanaudière,2414,Région de Lanaudière
491827197,L5A,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
491827219,M9M,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
491827230,B3H,HALIFAX,12,1204,Zone 4 - Central,1204,Zone 4 - Central
491827327,A0N,LOURDES,10,1013,Western,1013,Western Regional Health Authority
491827348,V1E,SALMON ARM,59,5901,Interior,592,Interior
491827357,T9W,WAINWRIGHT,48,4833,Central,4833,Central Zone
491827414,A2V,LABRADOR CITY,10,1014,Labrador-Grenfell,1014,Labrador-Grenfell Regional Health Authority
491827586,T2K,CALGARY,48,4832,Calgary,4832,Calgary Zone
491827631,L3Z,BRADFORD,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
491827760,M2H,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
491827768,M1B,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
491827898,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit"
491827992,L3X,NEWMARKET,35,3570,York,3570,York Region Public Health
491828051,V7C,RICHMOND,59,5903,Vancouver Coastal,595,Vancouver Coastal
491828199,P3E,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit
491828287,M6J,TORONTO,35,3595,Toronto,3595,Toronto Public Health
491828577,L4Z,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
491828634,L6L,OAKVILLE,35,3536,Halton,3536,Halton Region Health Department
491829056,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area)
491829579,L5L,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
491830124,L5R,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health
491830828,H3J,MONTREAL,24,2406,Montréal,2406,Région de Montréal
491831276,K2J,NEPEAN,35,3551,Ottawa,3551,Ottawa Public Health
491831295,H1Y,MONTREAL,24,2406,Montréal,2406,Région de Montréal
491831573,P0B,UTTERSON,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit
491832658,M1J,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
491832684,R5L,ANOLA,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority
491833531,L6C,MARKHAM,35,3570,York,3570,York Region Public Health
491833767,V3B,PORT COQUITLAM,59,5902,Fraser,591,Fraser
491834337,M3J,NORTH YORK,35,3595,Toronto,3595,Toronto Public Health
491834842,M4C,EAST YORK,35,3595,Toronto,3595,Toronto Public Health
491835948,M1W,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health
491836747,K1J,GLOUCESTER,35,3551,Ottawa,3551,Ottawa Public Health
491837905,V9R,NANAIMO,59,5904,Island,593,Vancouver Island
491837909,S0E,TISDALE,47,4702,North,472,North
491838388,K0A,CARP,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit"
491856332,T3A,CALGARY,48,4832,Calgary,4832,Calgary Zone
491857875,L7R,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
491860661,M4K,TORONTO,35,3595,Toronto,3595,Toronto Public Health
491861356,T3M,CALGARY,48,4832,Calgary,4832,Calgary Zone
491862306,M5N,TORONTO,35,3595,Toronto,3595,Toronto Public Health
491863904,M6H,TORONTO,35,3595,Toronto,3595,Toronto Public Health
491869732,L7P,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
491872153,G8V,TROIS-RIVIERES,24,2404,Mauricie,2404,Région de la Mauricie et du Centre-du-Québec
491875657,T6X,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
491875672,V8R,VICTORIA,59,5904,Island,593,Vancouver Island
491881426,V8R,VICTORIA,59,5904,Island,593,Vancouver Island
491885222,H2X,MONTREAL,24,2406,Montréal,2406,Région de Montréal
491892137,G7J,CHICOUTIMI,24,2402,Saguenay,2402,Région du Saguenay—Lac-Saint-Jean
491894504,M5B,TORONTO,35,3595,Toronto,3595,Toronto Public Health
491901750,K1P,OTTAWA,35,3551,Ottawa,3551,Ottawa Public Health
491919193,P3C,SUDBURY,35,3561,Sudbury,3561,Sudbury and District Health Unit
491938308,V6E,VANCOUVER,59,5903,Vancouver Coastal,595,Vancouver Coastal
491957854,J1J,SHERBROOKE,24,2405,Estrie,2405,Région de l'Estrie
492048071,H4K,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492056006,K2V,KANATA,35,3551,Ottawa,3551,Ottawa Public Health
492060304,M6K,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492105114,V3Z,SURREY,59,5902,Fraser,591,Fraser
492132099,C1E,CHARLOTTETOWN,11,1100,Prince Edward Island,1100,Prince Edward Island
492151083,R3M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492152432,R3L,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492152498,R2H,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492152790,R1N,PORTAGE LA PRAIRIE,46,4605,Southern Health,4605,Southern Health—Santé Sud
492154173,R3X,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492167387,R3T,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492189247,L0S,NIAGARA ON THE LAKE,35,3546,Niagara,3546,Niagara Region Public Health Department
492212174,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492214159,R2N,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492222013,R2M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492224120,R7B,BRANDON,46,4602,Prairie Mountain,4602,Prairie Mountain Health
492248369,R3Y,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492298202,R2W,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492303830,R1A,ST ANDREWS,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority
492323841,R3M,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492326919,R0L,CAMPERVILLE,46,4602,Prairie Mountain,4602,Prairie Mountain Health
492358061,M9C,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health
492380089,R2K,WINNIPEG,46,4601,Winnipeg,4601,Winnipeg Regional Health Authority
492387546,N1H,GUELPH,35,3566,Wellington Dufferin Guelph,3566,Wellington-Dufferin-Guelph Health Unit
492387558,T4T,ROCKY MOUNTAIN HOUSE,48,4833,Central,4833,Central Zone
492387565,E2J,SAINT JOHN,13,1302,Zone 2 (Saint John area),1302,Zone 2 (Saint John area)
492387576,H4C,MONTREAL,24,2406,Montréal,2406,Région de Montréal
492387596,A0B,HEART'S DESIRE,10,1011,Eastern,1011,Eastern Regional Health Authority
492387601,L3R,MARKHAM,35,3570,York,3570,York Region Public Health
492387612,V3Y,PITT MEADOWS,59,5902,Fraser,591,Fraser
492387613,T6A,EDMONTON,48,4834,Edmonton,4834,Edmonton Zone
492387617,V5J,BURNABY,59,5902,Fraser,591,Fraser
492387651,N5P,ST THOMAS,35,3575,Southwestern,3575,Southwestern Public Health
492387658,P7B,THUNDER BAY,35,3562,Thunder Bay,3562,Thunder Bay District Health Unit
492387684,T4P,RED DEER,48,4833,Central,4833,Central Zone
492387687,M5N,TORONTO,35,3595,Toronto,3595,Toronto Public Health
492387689,E1B,RIVERVIEW,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area)
492387692,L7S,BURLINGTON,35,3536,Halton,3536,Halton Region Health Department
