CID,FSA,Comm_Name,PR,HR,health_region,HR_UID,HR_NAME,pop.2016,area.km2,pop.km2
491824829,T2Z,CALGARY,48,4832,Calgary,4832,Calgary Zone,68438,71.51136222844573,957.0227425031037
491824833,L5E,MISSISSAUGA,35,3553,Peel,3553,Peel Public Health,12731,8.086317100863079,1574.3879248367812
491824844,A0G,LEWISPORTE,10,1012,Central,1012,Central Regional Health Authority,35266,17126.57061717745,2.059139613427876
491824847,H9W,BEACONSFIELD,24,2406,Montréal,2406,Région de Montréal,19324,11.02593820757004,1752.594621538219
491824858,M8W,ETOBICOKE,35,3595,Toronto,3595,Toronto Public Health,20674,6.9512604713225,2974.136861262905
491824869,T3G,CALGARY,48,4832,Calgary,4832,Calgary Zone,59025,25.376139176058043,2326.0039516054153
491824885,L4N,BARRIE,35,3560,Simcoe Muskoka,3560,Simcoe Muskoka District Health Unit,98663,65.51597146436772,1505.9381368352297
491824907,M5V,TORONTO,35,3595,Toronto,3595,Toronto Public Health,49195,3.6503405918534835,13476.824631046531
491824912,L3P,MARKHAM,35,3570,York,3570,York Region Public Health,37764,44.362920907194905,851.2514331281403
491824920,M1G,SCARBOROUGH,35,3595,Toronto,3595,Toronto Public Health,29690,9.064082993480994,3275.56577111589
491824928,A1A,ST. JOHN'S,10,1011,Eastern,1011,Eastern Regional Health Authority,30382,44.08791540398698,689.1230787757427
491824961,B2H,NEW GLASGOW,12,1202,Zone 2 - Northern,1202,Zone 2 - Northern,14477,311.809309865338,46.429017806595404
491824984,K6V,BROCKVILLE,35,3543,Leeds Grenville and Lanark,3543,"Leeds, Grenville and Lanark District Health Unit",27782,191.684001644332,144.93645667701188
491824999,A0J,SPRINGDALE,10,1012,Central,1012,Central Regional Health Authority,7880,1926.3812550104144,4.090571365094289
491825021,L8K,HAMILTON,35,3537,Hamilton,3537,Hamilton Public Health Services,31449,11.844644950365351,2655.1239088876146
491825023,V2W,MAPLE RIDGE,59,5902,Fraser,591,Fraser,19022,75.75381561627125,251.10286320566857
491825027,H8P,LASALLE,24,2406,Montréal,2406,Région de Montréal,22706,4.375746295570532,5189.057698108495
491825031,T4R,RED DEER,48,4833,Central,4833,Central Zone,36570,39.05951488654153,936.2635482347139
491825032,R3C,WINNIPEG,46,4603,Interlake-Eastern,4603,Interlake-Eastern Regional Health Authority,14364,143.94649054596334,99.78708022349078
491825038,J3Y,SAINT-HUBERT,24,2416,Montérégie,2416,Région de la Montérégie,61954,60.63103185954626,1021.819983923718
491825044,H4A,MONTREAL,24,2406,Montréal,2406,Région de Montréal,26453,3.031594839289225,8725.77023062952
491825049,A8A,DEER LAKE,10,1013,Western,1013,Western Regional Health Authority,6901,5364.754740057902,1.2863588988460481
491825066,V0K,100 MILE HOUSE,59,5901,Interior,592,Interior,32908,36850.72331043515,0.8930082517723967
491825073,E1A,DIEPPE,13,1301,Zone 1 (Moncton area),1301,Zone 1 (Moncton area),43012,80.16757739907922,536.5261293338524
