CID,FSA,date,health_region,avgtotal_last7
491824844,A0G,2021-02-16,Central,44.42857142857143
491824844,A0G,2021-02-16,Central,11.285714285714286
491824928,A1A,2021-02-16,Eastern,8.285714285714286
491824999,A0J,2021-02-16,Central,44.42857142857143
491824999,A0J,2021-02-16,Central,11.285714285714286
491825031,T4R,2021-02-16,Central,44.42857142857143
491825031,T4R,2021-02-16,Central,11.285714285714286
491825410,A0A,2021-02-16,Eastern,8.285714285714286
491825494,T4N,2021-02-16,Central,44.42857142857143
491825494,T4N,2021-02-16,Central,11.285714285714286
491825619,S4H,2021-02-16,South,7.285714285714286
491826639,V0J,2021-02-16,Northern,36.285714285714285
491827047,S6J,2021-02-16,South,7.285714285714286
491827357,T9W,2021-02-16,Central,44.42857142857143
491827357,T9W,2021-02-16,Central,11.285714285714286
491837909,S0E,2021-02-16,North,40.57142857142857
492387558,T4T,2021-02-18,Central,47.57142857142857
492387558,T4T,2021-02-18,Central,12.571428571428571
492387596,A0B,2021-02-18,Eastern,8.285714285714286
492387684,T4P,2021-02-18,Central,47.57142857142857
492387684,T4P,2021-02-18,Central,12.571428571428571
492387888,K0C,2021-02-18,Eastern,8.285714285714286
492388009,A1C,2021-02-18,Eastern,8.285714285714286
492388235,A1B,2021-02-18,Eastern,8.285714285714286
492388299,V2N,2021-02-18,Northern,40.857142857142854
492388485,V2L,2021-02-18,Northern,40.857142857142854
492388622,R9A,2021-02-18,Northern,40.857142857142854
492388703,V2J,2021-02-18,Northern,40.857142857142854
492388831,T1B,2021-02-18,South,6.142857142857143
492388881,S6H,2021-02-18,South,6.142857142857143
492389065,S0K,2021-02-18,Central,47.57142857142857
492389065,S0K,2021-02-18,Central,12.571428571428571
492389151,V0C,2021-02-18,Northern,40.857142857142854
492389337,A1E,2021-02-18,Eastern,8.285714285714286
492389359,K6K,2021-02-18,Eastern,8.285714285714286
492389442,S0E,2021-02-18,North,40.714285714285715
492389500,A1E,2021-02-18,Eastern,8.285714285714286
492389941,V2N,2021-02-18,Northern,40.857142857142854
492390297,A0A,2021-02-18,Eastern,8.285714285714286
492390455,T8X,2021-02-18,North,40.714285714285715
492390801,K0C,2021-02-18,Eastern,8.285714285714286
492390960,V2L,2021-02-18,Northern,40.857142857142854
492391077,S6V,2021-02-18,North,40.714285714285715
492391273,S0N,2021-02-18,South,6.142857142857143
492391489,K6J,2021-02-18,Eastern,8.285714285714286
492391586,K6H,2021-02-18,Eastern,8.285714285714286
492391937,K6H,2021-02-18,Eastern,8.285714285714286
492392116,S0A,2021-02-18,Central,47.57142857142857
492392116,S0A,2021-02-18,Central,12.571428571428571
492392819,A1E,2021-02-18,Eastern,8.285714285714286
492392983,T1C,2021-02-18,South,6.142857142857143
492393136,T9V,2021-02-18,Central,47.57142857142857
492393136,T9V,2021-02-18,Central,12.571428571428571
492393368,T0C,2021-02-18,Central,47.57142857142857
492393368,T0C,2021-02-18,Central,12.571428571428571
492393784,A0G,2021-02-18,Central,47.57142857142857
492393784,A0G,2021-02-18,Central,12.571428571428571
492393936,T0A,2021-02-18,North,40.714285714285715
492393971,T4H,2021-02-18,Central,47.57142857142857
492393971,T4H,2021-02-18,Central,12.571428571428571
492394067,T4T,2021-02-18,Central,47.57142857142857
492394067,T4T,2021-02-18,Central,12.571428571428571
492394328,A1E,2021-02-18,Eastern,8.285714285714286
492394570,T0M,2021-02-18,Central,47.57142857142857
492394570,T0M,2021-02-18,Central,12.571428571428571
492394731,A1Y,2021-02-18,Eastern,8.285714285714286
492708843,A1N,2021-02-19,Eastern,28.428571428571427
492708946,A1G,2021-02-19,Eastern,28.428571428571427
492709448,S6H,2021-02-19,South,25.285714285714285
492709791,A1L,2021-02-19,Eastern,28.428571428571427
492709925,T8V,2021-02-19,North,55.42857142857143
492709976,A1K,2021-02-19,Eastern,28.428571428571427
492711050,A1N,2021-02-19,Eastern,28.428571428571427
492711452,T1K,2021-02-19,South,25.285714285714285
492711606,T1K,2021-02-19,South,25.285714285714285
492711843,T0M,2021-02-19,Central,0.2857142857142857
492711843,T0M,2021-02-19,Central,52.42857142857143
492711988,T0M,2021-02-19,Central,0.2857142857142857
492711988,T0M,2021-02-19,Central,52.42857142857143
492712471,T0B,2021-02-19,Central,0.2857142857142857
492712471,T0B,2021-02-19,Central,52.42857142857143
492712971,V2J,2021-02-19,Northern,41.857142857142854
492713334,S0H,2021-02-19,South,25.285714285714285
492713570,A0C,2021-02-19,Eastern,28.428571428571427
492713601,T0A,2021-02-19,North,55.42857142857143
492713622,T0B,2021-02-19,Central,0.2857142857142857
492713622,T0B,2021-02-19,Central,52.42857142857143
492714191,A1V,2021-02-19,Central,0.2857142857142857
492714191,A1V,2021-02-19,Central,52.42857142857143
492714246,T9V,2021-02-19,Central,0.2857142857142857
492714246,T9V,2021-02-19,Central,52.42857142857143
492857778,T0H,2021-02-20,North,64.42857142857143
492859697,A0A,2021-02-20,Eastern,9.428571428571429
492859848,T1B,2021-02-20,South,24.714285714285715
492859896,T0H,2021-02-20,North,64.42857142857143
492859959,S0K,2021-02-20,Central,0.2857142857142857
492859959,S0K,2021-02-20,Central,10.142857142857142
492860078,S0K,2021-02-20,Central,0.2857142857142857
492860078,S0K,2021-02-20,Central,10.142857142857142
492860185,T0A,2021-02-20,North,64.42857142857143
492860207,T7A,2021-02-20,Central,0.2857142857142857
492860207,T7A,2021-02-20,Central,10.142857142857142
492860541,K6J,2021-02-20,Eastern,9.428571428571429
492860739,T8V,2021-02-20,North,64.42857142857143
492861218,T1K,2021-02-20,South,24.714285714285715
492861427,K4R,2021-02-20,Eastern,9.428571428571429
492861990,K6H,2021-02-20,Eastern,9.428571428571429
492862098,S0E,2021-02-20,North,64.42857142857143
492862421,T1K,2021-02-20,South,24.714285714285715
492862788,T4P,2021-02-20,Central,0.2857142857142857
492862788,T4P,2021-02-20,Central,10.142857142857142
492862964,K0C,2021-02-20,Eastern,9.428571428571429
492862986,A1G,2021-02-20,Eastern,9.428571428571429
492863154,V2N,2021-02-20,Northern,41.857142857142854
492863596,T4S,2021-02-20,Central,0.2857142857142857
492863596,T4S,2021-02-20,Central,10.142857142857142
492863935,T9K,2021-02-20,North,64.42857142857143
492864284,T0H,2021-02-20,North,64.42857142857143
492864507,A0C,2021-02-20,Eastern,9.428571428571429
492864883,T4H,2021-02-20,Central,0.2857142857142857
492864883,T4H,2021-02-20,Central,10.142857142857142
492864951,T4P,2021-02-20,Central,0.2857142857142857
492864951,T4P,2021-02-20,Central,10.142857142857142
492866006,S6H,2021-02-20,South,24.714285714285715
492866142,A1A,2021-02-20,Eastern,9.428571428571429
492868910,A0B,2021-02-20,Eastern,9.428571428571429
492869631,A0H,2021-02-20,Central,0.2857142857142857
492869631,A0H,2021-02-20,Central,10.142857142857142
492872191,A0A,2021-02-20,Eastern,9.428571428571429
492877672,T0J,2021-02-20,South,24.714285714285715
493170783,K6J,2021-02-22,Eastern,11.142857142857142
493171704,T1J,2021-02-22,South,6.571428571428571
493171746,T1K,2021-02-22,South,6.571428571428571
493171873,K6H,2021-02-22,Eastern,11.142857142857142
493171949,K4R,2021-02-22,Eastern,11.142857142857142
493171969,K0C,2021-02-22,Eastern,11.142857142857142
493173890,S6H,2021-02-22,South,6.571428571428571
493174723,T1H,2021-02-22,South,6.571428571428571
493175151,K6A,2021-02-22,Eastern,11.142857142857142
493176561,V2K,2021-02-22,Northern,56
493176653,K6J,2021-02-22,Eastern,11.142857142857142
493176842,S6H,2021-02-22,South,6.571428571428571
493176844,S0K,2021-02-22,Central,11.714285714285714
493176844,S0K,2021-02-22,Central,51.42857142857143
493176845,K4K,2021-02-22,Eastern,11.142857142857142
493177070,S0A,2021-02-22,Central,11.714285714285714
493177070,S0A,2021-02-22,Central,51.42857142857143
493177333,T4G,2021-02-22,Central,11.714285714285714
493177333,T4G,2021-02-22,Central,51.42857142857143
493177589,T1A,2021-02-22,South,6.571428571428571
493177627,S9H,2021-02-22,South,6.571428571428571
493235291,K6H,2021-02-22,Eastern,11.142857142857142
493539990,T7E,2021-02-23,North,68
493546792,K6H,2021-02-23,Eastern,9.428571428571429
494534731,T1J,2021-02-26,South,7.285714285714286
494547229,T4P,2021-02-26,Central,0.14285714285714285
494547229,T4P,2021-02-26,Central,46.857142857142854
494558518,T4P,2021-02-26,Central,0.14285714285714285
494558518,T4P,2021-02-26,Central,46.857142857142854
494832470,A1K,2021-02-28,Eastern,10.714285714285714
495129675,V2N,2021-03-01,Northern,24
495620369,K0C,2021-03-03,Eastern,4.714285714285714
498645565,S9H,2021-03-16,South,58.714285714285715
