other_problem_text,n,category,dictionary,Index,,,,,
,1944,,,"1 = COVID-19
2 = Public health messaging/gov't handling of COVID
3 = Healthcare (access to care, short supply)
4 = Long term care
5 = Chronic disease (cancer, heart disease)
6 = Mental health
7 = Access to housing and food
8 = Drug abuse
9 = Inequality
10 = Economy
11 = Corrupt gov't
12 = Climate change/environmental
13 = Abortion
14 = Reliance on meat
15 = Domestic abuse
16 = Misinformation
17 = Internet addiction
18 = Don't know",,,,,
accès difficile aux soins,1,3,"Healthcare (access to care, short supply)",,,,,,
access to affordable housing and healthy food,1,7,Access to housing and food,,,,,,
access to medical care/long term care,1,4,Long term care,,,,,,
aging population,1,4,Long term care,,,,,,
backlog in elective surgeries,1,3,"Healthcare (access to care, short supply)",,,,,,
cancer,2,5,"Chronic disease (cancer, heart disease, etc)",,,,,,
cancer and diabetes,1,5,"Chronic disease (cancer, heart disease, etc)",,,,,,
"cancer treatments, long wait times",1,5,"Chronic disease (cancer, heart disease, etc)",,,,,,
carnism,1,14,Reliance on meat,,,,,,
chemical exposures,1,12,Climate change/environmental,,,,,,
chronic disease,1,5,"Chronic disease (cancer, heart disease, etc)",,,,,,
climate change,3,12,Climate change/environmental,,,,,,
collapse of the health system.  lack of private ate health options.,1,3,"Healthcare (access to care, short supply)",,,,,,
cost of living,2,7,Access to housing and food,,,,,,
covid,4,1,COVID-19,,,,,,
covid 19,1,1,COVID-19,,,,,,
"covid over-reaction, financial issues due to covid over-reaction",1,2,Public health messaging / gov't handing of COVID,,,,,,
covid-19,1,1,COVID-19,,,,,,
covid-19 pandemic,1,1,COVID-19,,,,,,
crise de logement,1,7,Access to housing and food,,,,,,
dealing with an out of control corrupt and criminal government and financial system,1,11,Corrupt government,,,,,,
debt,1,10,Economy,,,,,,
depression,1,6,Mental health,,,,,,
désinformation,1,16,Misinformation,,,,,,
destruction of parks and trees in cities,1,12,Climate change/environmental,,,,,,
doctors...do not have one anymore as he moved to another province to set up his practice.,1,3,"Healthcare (access to care, short supply)",,,,,,
domestic abuse,1,15,Domestic abuse,,,,,,
don’t know,1,18,Don't know,,,,,,
economic,1,10,Economy,,,,,,
economy,2,10,Economy,,,,,,
economy and high taxes,1,10,Economy,,,,,,
environment climate change,1,12,Climate change/environmental,,,,,,
environmental,1,12,Climate change/environmental,,,,,,
factory farming,1,14,Reliance on meat,,,,,,
garbage pollution,1,12,Climate change/environmental,,,,,,
